title,text,news_type,language
"અમદાવાદના રસ્તાઓ પર હવે ઉડતી ટેક્સી દોડશે, સરકારે આપી મંજૂરી.",અમદાવાદ મ્યુનિસિપલ કોર્પોરેશને શહેરની ટ્રાફિક સમસ્યા હળવી કરવા માટે એક ખાનગી કંપનીને 'ફ્લાઈંગ ટેક્સી' સેવા શરૂ કરવાની પરવાનગી આપી દીધી છે.,Fake,Gujarati
"ગુજરાતના દરિયાકાંઠે 'મોતીના પહાડ'ની શોધ, કરોડોનો ખજાનો મળ્યો.","પુરાતત્વવિદોની એક ટીમે ગુજરાતના દરિયાકાંઠાના અજાણ્યા વિસ્તારમાં પ્રાચીન મોતીઓનો એક મોટો જથ્થો શોધી કાઢ્યો છે, જેની કિંમત આંતરરાષ્ટ્રીય બજારમાં કરોડો રૂપિયા આંકવામાં આવી રહી છે.",Fake,Gujarati
શાળાના વિદ્યાર્થીઓ માટે સરકારનો નવો નિયમ: દરરોજ બે કલાક યોગા ફરજિયાત.,શિક્ષણ વિભાગે જાહેર કર્યું છે કે રાજ્યની તમામ સરકારી અને ખાનગી શાળાઓમાં ધોરણ 1 થી 12ના વિદ્યાર્થીઓ માટે અભ્યાસક્રમની સાથે દરરોજ બે કલાક સૂર્ય નમસ્કાર સહિતના યોગાસનો કરવા ફરજિયાત છે.,Fake,Gujarati
"વડોદરામાં ઝાડ પર લાગ્યા ડાયમંડ ફળ, અમીરોની ભીડ જામી.",વડોદરાના એક બગીચામાં એક વિચિત્ર ઘટના બની છે જ્યાં એક સામાન્ય ઝાડ પર ડાયમંડ જેવા ચમકતા ફળો ઉગ્યા છે. લોકો તેને જોવા માટે મોટી સંખ્યામાં એકઠા થઈ રહ્યા છે.,Fake,Gujarati
"ગાંધીનગરમાં એરિયલ યોગા કરતી ગાયનો વીડિયો વાયરલ, લોકો આશ્ચર્યચકિત.",ગાંધીનગરના એક ખેતરમાં ગાય હવામાં યોગા કરતી હોય તેવો વીડિયો સોશિયલ મીડિયા પર વાયરલ થયો છે. નિષ્ણાતો માને છે કે તે કોઈ પશુની અસામાન્ય શારીરિક ક્ષમતા હોઈ શકે છે.,Fake,Gujarati
ગુજરાતમાં કમોસમી વરસાદને કારણે ખેડૂતોના પાકને ભારે નુકસાન.,"છેલ્લા કેટલાક દિવસોથી ગુજરાતના અનેક વિસ્તારોમાં પડેલા કમોસમી વરસાદને કારણે જીરું, કપાસ અને અન્ય રવી પાકોને વ્યાપક નુકસાન થયું છે, જેના પગલે સરકારે સર્વેની જાહેરાત કરી છે.",True,Gujarati
રાજ્યના બંદરો પર આધુનિકીકરણ અને વિસ્તરણ માટે નવા પ્રોજેક્ટ્સને મંજૂરી.,"ગુજરાત મેરીટાઇમ બોર્ડ (GMB) એ રાજ્યના મુખ્ય બંદરોની ક્ષમતા વધારવા અને તેમને આંતરરાષ્ટ્રીય માપદંડો પર લાવવા માટે ₹5,000 કરોડના નવા આધુનિકીકરણ પ્રોજેક્ટ્સને મંજૂરી આપી છે.",True,Gujarati
અમદાવાદ-મુંબઈ બુલેટ ટ્રેન પ્રોજેક્ટનું 70% કામ પૂર્ણ.,"નેશનલ હાઇ સ્પીડ રેલ કોર્પોરેશન લિમિટેડ (NHSRCL) દ્વારા જાહેર કરાયેલા આંકડા મુજબ, મહત્વાકાંક્ષી અમદાવાદ-મુંબઈ બુલેટ ટ્રેન પ્રોજેક્ટનું 70% સિવિલ વર્ક પૂર્ણ થઈ ગયું છે.",True,Gujarati
"ગુજરાત વિધાનસભામાં 'એક રાજ્ય, એક યુનિફોર્મ'ની નીતિ પર ચર્ચા.",ગુજરાત વિધાનસભાના હાલના સત્રમાં સરકારી શાળાઓના શિક્ષકો અને અન્ય કર્મચારીઓ માટે સમગ્ર રાજ્યમાં એકસમાન યુનિફોર્મ લાગુ કરવાના પ્રસ્તાવ પર જોરદાર ચર્ચા થઈ.,True,Gujarati
સરકારે ગૌશાળાઓને આર્થિક સહાય આપવા માટેની નવી યોજના જાહેર કરી.,રાજ્ય સરકારે ગૌશાળાઓ અને પાંજરાપોળોને ગાયોના નિભાવ અને સારા સંચાલન માટે માસિક ધોરણે નાણાકીય સહાય પૂરી પાડવા માટેની એક વિસ્તૃત યોજના રજૂ કરી છે.,True,Gujarati
